Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Language,Question,gpt-4o-mini_response,deepseek-reasoner_response,llama-4-maverick_response,shortest_tag_complexity,longest_tag_complexity,deepseek-reasoner_response_precision,deepseek-reasoner_response_recall,deepseek-reasoner_response_f1,deepseek-reasoner_response_accuracy,deepseek-reasoner_response_missing,deepseek-reasoner_response_extra,deepseek-reasoner_response_correct,gpt-4o-mini_response_precision,gpt-4o-mini_response_recall,gpt-4o-mini_response_f1,gpt-4o-mini_response_accuracy,gpt-4o-mini_response_missing,gpt-4o-mini_response_extra,gpt-4o-mini_response_correct,llama-4-maverick_response_precision,llama-4-maverick_response_recall,llama-4-maverick_response_f1,llama-4-maverick_response_accuracy,llama-4-maverick_response_missing,llama-4-maverick_response_extra,llama-4-maverick_response_correct
1hop-Thing_charles_pickard_1854-charles-hasMother-MC,Thing_charles_pickard_1854,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#charles_pickard_1854> <http://www.example.com/genealogy.owl#hasMother> ?object },hasMother,frances_elizabeth_ingelby_1816,1,2,10,English,Who is the mother of Charles Pickard?,frances_elizabeth_ingelby_1816,frances_elizabeth_ingelby_1816,frances_elizabeth_ingelby_1816,1,2,1.0,1.0,1.0,1.0,,,frances_elizabeth_ingelby_1816,1.0,1.0,1.0,1.0,,,frances_elizabeth_ingelby_1816,1.0,1.0,1.0,1.0,,,frances_elizabeth_ingelby_1816
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#charlotte_ann_jessop_1865> },hasRelation,true,2,4,10,English,Is there a relationship between Herbert Vincent Jessop and Charlotte Ann Jessop?,TRUE,TRUE,TRUE,2,5,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#charlotte_ann_jessop_1865> },hasRelation,true,2,4,10,English,Is there a relationship between Edward Jessop and Charlotte Ann Jessop?,TRUE,TRUE,TRUE,2,5,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#edward_jessop_1867> },hasRelation,true,2,7,10,English,Is there a relationship between Herbert Vincent Jessop and Edward Jessop?,TRUE,TRUE,TRUE,2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_jessop_1836> },hasRelation,true,20,20,1,English,Is Edward Jessop related to James Jessop?,TRUE,TRUE,TRUE,4,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_jessop_1836> },hasRelation,true,20,20,1,English,Is Herbert Vincent Jessop related to James Jessop?,TRUE,TRUE,TRUE,4,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> },hasRelation,true,2,7,10,English,Is there a relationship between Edward Jessop and Herbert Vincent Jessop?,TRUE,TRUE,TRUE,2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#elizabeth_frances_jessop_1869> },hasRelation,true,2,7,10,English,Is there a relationship between Herbert Vincent Jessop and Elizabeth Frances Jessop?,TRUE,TRUE,TRUE,2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#elizabeth_frances_jessop_1869> },hasRelation,true,2,7,10,English,Is there a relationship between Edward Jessop and Elizabeth Frances Jessop?,TRUE,TRUE,TRUE,2,5,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_eliza_jessop_1863> },hasRelation,true,2,7,10,English,Is there a relationship between Herbert Vincent Jessop and Mary Eliza Jessop?,TRUE,TRUE,"To determine if there is a relationship between Herbert Vincent Jessop and Mary Eliza Jessop, we need to examine the provided context, specifically the individuals and their relationships.

1. **Identify Relevant Individuals and Relationships:**
   - The context provides information about ""Charlotte ann jessop 1865"" and her relationships.
   - It is stated that ""Herbert vincent jessop 1871 Is brother of Charlotte ann jessop 1865.""
   - It is also stated that ""Mary eliza jessop 1863 Is sister of Charlotte ann jessop 1865.""

2. **Analyze Relationships:**
   - Since Herbert Vincent Jessop is the brother of Charlotte Ann Jessop, and Mary Eliza Jessop is the sister of Charlotte Ann Jessop, this implies that Herbert Vincent Jessop and Mary Eliza Jessop are siblings because they are both siblings of Charlotte Ann Jessop.

3. **Conclusion:**
   - Given that Herbert Vincent Jessop and Mary Eliza Jessop are both related to Charlotte Ann Jessop as siblings, they are related to each other as siblings.

Therefore, the answer is: TRUE",2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,0.0,0.0,0.0,0.0,true,"theyarerelatedtoeachotherassiblings.therefore, thisimpliesthatherbertvincentjessopandmaryelizajessoparesiblingsbecausetheyarebothsiblingsofcharlotteannjessop.3.**conclusion:**-giventhatherbertvincentjessopandmaryelizajessoparebothrelatedtocharlotteannjessopassiblings, todetermineifthereisarelationshipbetweenherbertvincentjessopandmaryelizajessop, andmaryelizajessopisthesisterofcharlotteannjessop, theansweris:true, weneedtoexaminetheprovidedcontext, specificallytheindividualsandtheirrelationships.1.**identifyrelevantindividualsandrelationships:**-thecontextprovidesinformationabout""charlotteannjessop1865""andherrelationships.-itisstatedthat""herbertvincentjessop1871isbrotherofcharlotteannjessop1865.""-itisalsostatedthat""maryelizajessop1863issisterofcharlotteannjessop1865.""2.**analyzerelationships:**-sinceherbertvincentjessopisthebrotherofcharlotteannjessop",
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_eliza_jessop_1863> },hasRelation,true,2,7,10,English,Is there a relationship between Edward Jessop and Mary Eliza Jessop?,TRUE,TRUE,TRUE,2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martha_cotton_1832> },hasRelation,true,20,20,1,English,Is there a relationship between Herbert Vincent Jessop and Martha Cotton?,TRUE,TRUE,TRUE,4,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-BIN,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martha_cotton_1832> },hasRelation,true,20,20,1,English,Is there a relationship between Edward Jessop and Martha Cotton?,TRUE,TRUE,TRUE,4,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_ann_jessop_1865-herbert-hasRelation-MC,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#herbert_vincent_jessop_1871> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, charlotte_ann_jessop_1865, james_jessop_1836, edward_jessop_1867",8,11,7,English,Which individuals are related to Herbert Vincent Jessop?,charlotte_ann_jessop_1865,charlotte_ann_jessop_1865,"elizabeth_frances_jessop_1869, edward_jessop_1867, herbert_vincent_jessop_1871, james_jessop_1836, martha_cotton_1832, mary_eliza_jessop_1863",4,4,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,"james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, edward_jessop_1867",,charlotte_ann_jessop_1865,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,"james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, edward_jessop_1867",,charlotte_ann_jessop_1865,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,charlotte_ann_jessop_1865,herbert_vincent_jessop_1871,"james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, edward_jessop_1867, martha_cotton_1832"
1hop-Thing_charlotte_ann_jessop_1865-edward-hasRelation-MC,Thing_charlotte_ann_jessop_1865,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1867> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"herbert_vincent_jessop_1871, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, charlotte_ann_jessop_1865, james_jessop_1836",8,11,7,English,Which individuals are related to Edward Jessop?,charlotte_ann_jessop_1865,"charlotte_ann_jessop_1865, elizabeth_frances_jessop_1869, herbert_vincent_jessop_1871, james_jessop_1836, martha_cotton_1832, mary_eliza_jessop_1863","elizabeth_frances_jessop_1869, herbert_vincent_jessop_1871, edward_jessop_1867, james_jessop_1836, martha_cotton_1832, mary_eliza_jessop_1863, Person, Ancestor",2,5,1.0,1.0,1.0,1.0,,,"james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, charlotte_ann_jessop_1865, martha_cotton_1832, herbert_vincent_jessop_1871",1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,"james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, herbert_vincent_jessop_1871",,charlotte_ann_jessop_1865,0.625,0.8333333333333334,0.7142857142857143,0.5555555555555556,charlotte_ann_jessop_1865,"person, ancestor, edward_jessop_1867","james_jessop_1836, elizabeth_frances_jessop_1869, mary_eliza_jessop_1863, martha_cotton_1832, herbert_vincent_jessop_1871"
1hop-Thing_charlotte_bright_1928-james-isBloodrelationOf-BIN,Thing_charlotte_bright_1928,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#james_alexander_bright_1921> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#charlotte_bright_1928> },isBloodrelationOf,true,1,3,10,English,Is James Alexander Bright a blood relative of Charlotte Bright?,TRUE,TRUE,TRUE,2,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_bright_1928-james-isBloodrelationOf-BIN,Thing_charlotte_bright_1928,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#james_alexander_bright_1921> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#frank_hewett_bright_1920> },isBloodrelationOf,true,2,5,10,English,Is James Alexander Bright a blood relative of Frank Hewett Bright?,TRUE,TRUE,TRUE,2,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_bright_1928-james-isBloodrelationOf-MC,Thing_charlotte_bright_1928,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#james_alexander_bright_1921> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?object },isBloodrelationOf,"frank_hewett_bright_1920, charlotte_bright_1928",2,4,10,English,Who are the blood relatives of James Alexander Bright?,"charlotte_bright_1928, frank_hewett_bright_1920",charlotte_bright_1928,"Person, james_alexander_bright_1921, charlotte_bright_1928, frank_hewett_bright_1920, james_frank_hayden_bright_1891",2,4,1.0,0.5,0.6666666666666666,0.5,frank_hewett_bright_1920,,charlotte_bright_1928,1.0,1.0,1.0,1.0,,,"frank_hewett_bright_1920, charlotte_bright_1928",0.4,1.0,0.5714285714285715,0.4,,"james_alexander_bright_1921, person, james_frank_hayden_bright_1891","frank_hewett_bright_1920, charlotte_bright_1928"
1hop-Thing_charlotte_caroline_jane_bright_1894-ruth-hasAncestor-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ruth_hostler> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#henry_edmund_bright_1862> },hasAncestor,true,2,4,10,English,Does Ruth Hostler have Henry Edmund Bright as an ancestor?,TRUE,TRUE,TRUE,1,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_caroline_jane_bright_1894-ruth-hasAncestor-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ruth_hostler> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#charlotte_caroline_jane_bright_1894> },hasAncestor,true,2,3,10,English,Does Ruth Hostler have Charlotte Caroline Jane Bright as an ancestor?,TRUE,TRUE,TRUE,1,3,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_caroline_jane_bright_1894-ruth-hasAncestor-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ruth_hostler> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#charlotte_hewett_1863> },hasAncestor,true,2,4,10,English,Does Ruth Hostler have Charlotte Hewett as an ancestor?,TRUE,TRUE,TRUE,1,3,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_caroline_jane_bright_1894-ruth-hasMother-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ruth_hostler> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#charlotte_caroline_jane_bright_1894> },hasMother,true,1,1,1,English,Does Ruth Hostler have Charlotte Caroline Jane Bright as her mother?,TRUE,TRUE,TRUE,0,0,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_caroline_jane_bright_1894-ruth-hasMother-MC,Thing_charlotte_caroline_jane_bright_1894,43,9,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ruth_hostler> <http://www.example.com/genealogy.owl#hasMother> ?object },hasMother,charlotte_caroline_jane_bright_1894,1,1,1,English,Who is the mother of Ruth Hostler?,charlotte_caroline_jane_bright_1894,charlotte_caroline_jane_bright_1894,charlotte_caroline_jane_bright_1894,0,0,1.0,1.0,1.0,1.0,,,charlotte_caroline_jane_bright_1894,1.0,1.0,1.0,1.0,,,charlotte_caroline_jane_bright_1894,1.0,1.0,1.0,1.0,,,charlotte_caroline_jane_bright_1894
1hop-Thing_charlotte_caroline_jane_bright_1894-frederick-type-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#frederick_herbert_bright_1889> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },type,true,2,2,10,English,Is Frederick Herbert Bright a person?,TRUE,TRUE,TRUE,0,0,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_caroline_jane_bright_1894-frederick-type-BIN,Thing_charlotte_caroline_jane_bright_1894,43,9,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#frederick_herbert_bright_1889> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },type,true,2,2,10,English,Is Frederick Herbert Bright a domain entity?,TRUE,FALSE,TRUE,7,7,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#vincent_cotton_1808> },hasRelation,true,20,20,1,English,Is there a relationship between Mary Ann Cotton and Vincent Cotton?,TRUE,FALSE,TRUE,4,4,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#rebecca_cotton_1845> },hasRelation,true,2,7,10,English,Is there a relationship between Mary Ann Cotton and Rebecca Cotton?,TRUE,TRUE,TRUE,2,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#edward_cotton_1850> },hasRelation,true,2,7,10,English,Is there a relationship between Mary Ann Cotton and Edward Cotton?,TRUE,TRUE,TRUE,3,7,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#elizabeth_blanchard_1807> },hasRelation,true,20,20,1,English,Is there a relationship between Mary Ann Cotton and Elizabeth Blanchard?,TRUE,TRUE,TRUE,4,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#charlotte_cotton_1840> },hasRelation,true,2,4,10,English,Is there a relationship between Mary Ann Cotton and Charlotte Cotton?,TRUE,TRUE,TRUE,2,5,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-elizabeth-isParentOf-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#elizabeth_blanchard_1807> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#charlotte_cotton_1840> },isParentOf,true,1,2,10,English,Is Elizabeth Blanchard a parent of Charlotte Cotton?,TRUE,FALSE,TRUE,1,3,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-isSiblingOf-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#rebecca_cotton_1845> },isSiblingOf,true,2,4,10,English,Are Mary Ann Cotton and Rebecca Cotton siblings?,TRUE,FALSE,TRUE,2,2,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-isSiblingOf-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#edward_cotton_1850> },isSiblingOf,true,2,4,10,English,Are Mary Ann Cotton and Edward Cotton siblings?,TRUE,TRUE,TRUE,2,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-mary-isSiblingOf-BIN,Thing_charlotte_cotton_1840,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#charlotte_cotton_1840> },isSiblingOf,true,2,3,10,English,Are Mary Ann Cotton and Charlotte Cotton siblings?,TRUE,TRUE,TRUE,2,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_charlotte_cotton_1840-elizabeth-isParentOf-MC,Thing_charlotte_cotton_1840,43,5,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#elizabeth_blanchard_1807> <http://www.example.com/genealogy.owl#isParentOf> ?object },isParentOf,charlotte_cotton_1840,1,2,10,English,Who are the children of Elizabeth Blanchard?,charlotte_cotton_1840,charlotte_cotton_1840,charlotte_cotton_1840,1,3,1.0,1.0,1.0,1.0,,,charlotte_cotton_1840,1.0,1.0,1.0,1.0,,,charlotte_cotton_1840,1.0,1.0,1.0,1.0,,,charlotte_cotton_1840
1hop-Thing_charlotte_cotton_1840-mary-hasRelation-MC,Thing_charlotte_cotton_1840,43,5,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"elizabeth_blanchard_1807, vincent_cotton_1808, edward_cotton_1850, rebecca_cotton_1845, charlotte_cotton_1840",9,12,6,English,Which individuals are related to Mary Ann Cotton?,"mary_ann_cotton_1847, charlotte_cotton_1840",charlotte_cotton_1840,"mary_ann_cotton_1832, Person, charlotte_cotton_1840, rebecca_cotton_1845, edward_cotton_1850",3,7,1.0,0.2,0.33333333333333337,0.2,"rebecca_cotton_1845, elizabeth_blanchard_1807, vincent_cotton_1808, edward_cotton_1850",,charlotte_cotton_1840,0.5,0.2,0.28571428571428575,0.16666666666666666,"rebecca_cotton_1845, elizabeth_blanchard_1807, vincent_cotton_1808, edward_cotton_1850",mary_ann_cotton_1847,charlotte_cotton_1840,0.6,0.6,0.6,0.42857142857142855,"elizabeth_blanchard_1807, vincent_cotton_1808","person, mary_ann_cotton_1832","rebecca_cotton_1845, charlotte_cotton_1840, edward_cotton_1850"
1hop-Thing_charlotte_cotton_1840-mary-isSiblingOf-MC,Thing_charlotte_cotton_1840,43,5,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#mary_ann_cotton_1847> <http://www.example.com/genealogy.owl#isSiblingOf> ?object },isSiblingOf,"edward_cotton_1850, rebecca_cotton_1845, charlotte_cotton_1840",2,4,10,English,Which individuals are siblings of Mary Ann Cotton?,"charlotte_cotton_1840, rebecca_cotton_1845","charlotte_cotton_1840, edward_cotton_1850, rebecca_cotton_1845","rebecca_cotton_1845, charlotte_cotton_1840",2,4,1.0,1.0,1.0,1.0,,,"rebecca_cotton_1845, charlotte_cotton_1840, edward_cotton_1850",1.0,0.6666666666666666,0.8,0.6666666666666666,edward_cotton_1850,,"rebecca_cotton_1845, charlotte_cotton_1840",1.0,0.6666666666666666,0.8,0.6666666666666666,edward_cotton_1850,,"rebecca_cotton_1845, charlotte_cotton_1840"
1hop-Thing_charlotte_hewett_1863-james-isSiblingOf-BIN,Thing_charlotte_hewett_1863,43,11,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#james_frank_hayden_bright_1891> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#leonard_john_bright_1890> },isSiblingOf,true,2,2,10,English,Are James Frank Hayden and Leonard John Bright siblings?,TRUE,TRUE,TRUE,3,8,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
